instance,scenario
126025,lcbench
126026,lcbench
126029,lcbench
167104,lcbench
167152,lcbench
167161,lcbench
167181,lcbench
167184,lcbench
167185,lcbench
167190,lcbench
167200,lcbench
167201,lcbench
168329,lcbench
168330,lcbench
168331,lcbench
168335,lcbench
168908,lcbench
168910,lcbench
189354,lcbench
189862,lcbench
189865,lcbench
189866,lcbench
189905,lcbench
189908,lcbench
189909,lcbench
